timestamp,x,y,z
1734257666480,0.0150974,0.205974,-0.764256
1734257666546,0.0143182,0.205949,-0.7637
1734257666613,0.0111995,0.206555,-0.763431
1734257666680,0.0115014,0.207669,-0.762654
1734257666747,0.0119376,0.207716,-0.7637
1734257666814,0.0134716,0.208206,-0.764754
1734257666847,0.0126706,0.208537,-0.764435
1734257666914,0.0119504,0.207777,-0.764277
1734257666981,0.013355,0.207942,-0.765838
1734257667048,0.0173323,0.207301,-0.767612
1734257667115,0.01893,0.208759,-0.767543
1734257667182,0.0226061,0.209322,-0.767347
1734257667249,0.027694,0.210831,-0.767019
1734257667282,0.0300926,0.210564,-0.766467
1734257667349,0.0313136,0.209644,-0.764998
1734257667416,0.0363595,0.208272,-0.765713
1734257667483,0.0369733,0.207101,-0.761585
1734257667550,0.0378021,0.205607,-0.76043
1734257667617,0.0347734,0.203716,-0.758395
1734257667650,0.0326336,0.202558,-0.759606
1734257667717,0.030725,0.20279,-0.758544
1734257667784,0.0299002,0.202758,-0.759694
1734257667851,0.0291138,0.202464,-0.758858
1734257667884,0.0291115,0.202067,-0.760115
1734257667951,0.0274589,0.202852,-0.758904
1734257668018,0.0269872,0.202744,-0.759404
1734257668085,0.0248141,0.202894,-0.759569
1734257668152,0.0241582,0.202472,-0.760936
1734257668219,0.0243259,0.202144,-0.762049
1734257668286,0.0243001,0.201617,-0.762742
1734257668353,0.0229291,0.200783,-0.763119
1734257668420,0.0220301,0.200106,-0.763463
1734257668486,0.0221054,0.200222,-0.763127
1734257668553,0.0227159,0.199931,-0.764794
1734257668620,0.0227922,0.200924,-0.764202
1734257668687,0.0226763,0.200166,-0.764151
1734257668754,0.022455,0.200653,-0.763307
1734257668821,0.0195244,0.200191,-0.762171
1734257668888,0.0208977,0.200187,-0.763129
1734257668955,0.0198625,0.199555,-0.76414
1734257669022,0.0185695,0.199613,-0.763435
1734257669089,0.0193766,0.200007,-0.763828
1734257669155,0.0178934,0.201482,-0.763594
1734257669222,0.017922,0.201183,-0.763537
1734257669289,0.0177355,0.201539,-0.764406
1734257669356,0.0194463,0.203637,-0.763023
1734257669457,0.0210085,0.208934,-0.76104
1734257669523,0.0213005,0.21435,-0.760985
1734257669590,0.0226514,0.222375,-0.759311
1734257669657,0.0242579,0.229034,-0.757492
1734257669724,0.0241369,0.234428,-0.756408
1734257669791,0.0260125,0.239534,-0.750659
1734257669858,0.027474,0.240941,-0.752766
1734257669925,0.0264192,0.240457,-0.75206
1734257669992,0.025786,0.239156,-0.751569
1734257670059,0.0256143,0.238399,-0.753583
1734257670159,0.0269404,0.235136,-0.759027
1734257670226,0.0240401,0.232987,-0.75932
1734257670293,0.0275185,0.232717,-0.761456
1734257670360,0.0280343,0.233436,-0.761294
1734257670427,0.0291762,0.230078,-0.762076
1734257670493,0.0310032,0.225896,-0.763639
1734257670560,0.0316381,0.221108,-0.763407
1734257670627,0.0323697,0.21624,-0.761396
1734257670694,0.0344891,0.211908,-0.763823
1734257670761,0.035938,0.209585,-0.764533
1734257670828,0.0374248,0.208482,-0.764006
1734257670895,0.0371148,0.208309,-0.762146
1734257670962,0.0367797,0.209637,-0.761561
1734257671029,0.0359238,0.209214,-0.761013
1734257671096,0.0355582,0.178307,-0.767847
1734257671162,0.0385258,0.103071,-0.771208
1734257671296,0.0355028,-0.0667923,-0.774388
1734257671363,0.0387288,0.0246953,-0.873639
1734257671430,0.035296,0.0852429,-0.87079
1734257671497,0.0339849,0.0751283,-0.772197
1734257671564,0.0330092,0.0359261,-0.871566
1734257671631,0.0321394,-0.0406859,-0.874138
1734257671698,0.0275197,-0.126578,-0.878531
1734257671765,0.0278745,-0.0337101,-0.873703
1734257671831,0.024985,0.0217541,-0.870578
1734257671898,0.0233186,-0.000290501,-0.738786
1734257671965,0.0173732,-0.0797499,-0.875102
1734257672032,0.0191594,-0.0849668,-0.728053
1734257672099,0.0131965,-0.057596,-0.872389
1734257672166,0.0167562,-0.0542873,-0.718848
1734257672233,0.00911183,-0.127057,-0.876816
1734257672300,0.0095122,-0.101318,-0.72096
1734257672367,0.00898821,-0.0916151,-0.711495
1734257672400,0.00881498,-0.0794468,-0.701144
1734257672467,0.00974615,-0.123377,-0.720363
1734257672500,0.00436797,-0.116512,-0.701831
1734257672567,0.00251153,-0.108089,-0.698992
1734257672634,-0.00254555,-0.12615,-0.700254
1734257672668,-0.00268249,-0.120262,-0.68811
1734257672735,-0.00721934,-0.119806,-0.690239
1734257672768,-0.00995151,-0.123713,-0.686098
1734257672835,-0.0118745,-0.126839,-0.681318
1734257672902,-0.0157147,-0.126503,-0.677311
1734257672935,-0.0181965,-0.127557,-0.671889
1734257673002,-0.0205996,-0.129179,-0.667946
1734257673036,-0.0241248,-0.129879,-0.663851
1734257673102,-0.0271502,-0.130085,-0.660154
1734257673169,-0.0299019,-0.129152,-0.655819
1734257673203,-0.0321663,-0.1298,-0.652122
1734257673270,-0.0337238,-0.129665,-0.651388
1734257673337,-0.0352983,-0.127712,-0.650283
1734257673370,-0.0356717,-0.127633,-0.650599
1734257673437,-0.0352919,-0.128722,-0.649822
1734257673470,-0.0350692,-0.12641,-0.651071
1734257673537,-0.0347032,-0.126331,-0.651308
1734257673604,-0.0354158,-0.127085,-0.651486
1734257673638,-0.0354173,-0.126969,-0.653344
1734257673705,-0.0350884,-0.127262,-0.655793
1734257673772,-0.0355781,-0.127752,-0.655767
1734257673805,-0.0368122,-0.12775,-0.656209
1734257673872,-0.0368212,-0.126814,-0.6568
1734257673939,-0.0368283,-0.127299,-0.656588
1734257673972,-0.0373201,-0.128038,-0.655448
1734257674039,-0.0371351,-0.128544,-0.655435
1734257674106,-0.036955,-0.127748,-0.655401
1734257674139,-0.0373155,-0.128645,-0.655239
1734257674206,-0.0374928,-0.128616,-0.655154
1734257674240,-0.038338,-0.128676,-0.654742
1734257674307,-0.0375943,-0.128431,-0.655162
1734257674374,-0.0369182,-0.12704,-0.655098
1734257674407,-0.0373931,-0.127909,-0.655038
1734257674474,-0.0375152,-0.128612,-0.654921
1734257674541,-0.0367689,-0.127084,-0.655406
1734257674574,-0.0362909,-0.126623,-0.655682
1734257674641,-0.0368742,-0.127304,-0.655204
1734257674708,-0.0373201,-0.125874,-0.655787
1734257674741,-0.0388673,-0.125599,-0.657183
1734257674808,-0.0389703,-0.125366,-0.656514
1734257674875,-0.0371227,-0.126706,-0.65578
1734257674942,-0.0383696,-0.127391,-0.655378
1734257674976,-0.036652,-0.127393,-0.656548
1734257675043,-0.0383549,-0.127344,-0.655305
1734257675109,-0.0383304,-0.126144,-0.655982
1734257675143,-0.0377933,-0.126882,-0.656235
1734257675210,-0.0373435,-0.127449,-0.656003
1734257675277,-0.0378321,-0.126838,-0.656211
1734257675310,-0.0378402,-0.126762,-0.655668
1734257675377,-0.0372759,-0.128425,-0.655416
1734257675444,-0.0368755,-0.127045,-0.655895
1734257675511,-0.0378711,-0.127296,-0.655746
